user_id,age,reels_watch_time_hours,daily_screen_time_hours,sleep_hours,attention_span_score,focus_level,task_completion_rate,stress_level,platform
1,21.0,1.86,7.34,8.95,4.99,5.09,45.44,Medium  ,TikTok
2,34.0,3.03,5.78,5.78,3.73,8.25,50.17,High,TikTok
3,43.0,3.96,9.62,5.46,5.48,8.96,43.27,Low,TikTok
4,29.0,3.56,7.25,5.09,5.54,9.77,64.99,Low,Instagram Reels
5,25.0,4.58,,,8.07,4.11,89.28,Low,Instagram Reels
6,22.0,2.04,22.12,7.54,2.11,6.35,88.73,Medium,YouTube Shorts
7,43.0,3.61,9.32,8.62,1.74,8.41,94.29,Low,TikTok
8,35.0,0.98,3.65,7.34,4.62,5.79,84.74,Medium,YouTube Shorts
9,21.0,2.78,11.57,8.49,8.99,5.16,54.67,High,YouTube Shorts
10,40.0,4.63,4.24,6.77,8.7,6.15,82.14,Medium,Instagram Reels
11,33.0,4.31,6.58,7.45,6.04,4.21,85.23,High,TikTok
12,37.0,5.95,3.15,7.1,9.0,2.73,72.59,Medium,YouTube Shorts
13,25.0,2.03,8.03,8.16,8.25,1.6,88.42,Low,YouTube Shorts
14,25.0,3.24,5.75,8.18,81.35,6.49,43.57,Low,YouTube Shorts
15,38.0,2.31,5.53,6.95,2.53,4.41,75.69,High,Instagram Reels
16,35.0,2.92,10.27,7.16,3.71,8.95,68.79,Low,TikTok
17,18.0,5.21,2.1,8.61,3.04,3.01,88.31,Low,TikTok
18,22.0,4.26,9.98,8.65,6.6,3.8,47.68,Low ,Instagram Reels
19,38.0,5.35,7.71,7.32,6.26,9.73,52.76,High,TikTok
20,,1.62,11.86,4.04,6.39,6.01,73.52,Medium,Instagram Reels
21,36.0,5.3,7.89,4.52,2.7,4.12,96.83,Medium,  TikTok
22,35.0,0.83,2.55,8.29,8.13,8.75,44.99,High,YouTube Shorts
23,16.0,5.39,2.51,4.42,4.9,7.69,84.6,High,TikTok
24,38.0,2.31,10.83,5.07,5.25,6.16,52.32,Low,YouTube Shorts
25,26.0,2.23,10.41,5.15,9.97,9.0,46.33,Medium,TikTok
26,44.0,3.32,5.46,7.0,3.54,1.85,63.69,High,YouTube Shorts
27,20.0,5.67,8.18,6.88,4.55,4.55,74.98,Medium,TikTok
28,16.0,0.76,6.9,5.45,7.09,8.29,89.62,High,YouTube Shorts
29,42.0,2.44,11.67,5.04,,4.47,78.08,High,TikTok
30,35.0,5.21,11.5,7.82,2.14,9.34,69.5,Low,Instagram Reels
31,15.0,2.68,11.84,8.68,7.62,2.37,,Medium,TikTok
32,26.0,1.6,10.66,4.26,9.26,4.03,57.55,Medium,YouTube Shorts
33,40.0,2.84,11.1,4.67,4.81,4.83,86.23,High,Instagram Reels
34,36.0,2.62,4.17,7.21,3.58,7.18,46.84,High,Instagram Reels
35,43.0,5.53,10.31,8.02,7.1,2.76,48.79, High,YouTube Shorts
36,26.0,4.69,9.09,7.96,3.21,1.03,83.18,High,Instagram Reels
37,39.0,3.28,11.63,2.0,4.46,9.79,97.66,Low,YouTube Shorts
38,31.0,5.94,7.71,8.44,9.07,9.09,47.21,Low  ,instagram reels
39,41.0,3.06,2.85,5.09,6.31,3.7,76.57,High,TikTok
40,41.0,0.82,7.97,4.54,1.85,5.35,54.35,Low,YouTube Shorts
41,24.0,1.94,8.87,7.08,101.0,5.4,41.55,Medium,Instagram Reels
42,42.0,2.9,4.2,8.11,6.65,8.82,89.94,Medium,Instagram Reels
43,42.0,1.36,5.94,6.91,5.33,6.37,70.52,High,YouTube Shorts
44,30.0,5.71,7.99,8.81,6.94,8.44,41.43,Low,YouTube Shorts
45,29.0,4.72,5.74,7.98,110.0,9.21,93.73,Low,Youtube Shorts
46,44.0,1.98,5.75,7.5,5.33,6.09,72.14,High,Instagram Reels
